ELECTORATE,P.N.M._VOTES_%,U.N.C._VOTES_%,VOTER_TURNOUT,TOTAL_NUMBER_OF_VOTES_CAST,VALID_VOTES,Year,ELECTORAL_DISTRICT_ARIMA,ELECTORAL_DISTRICT_AROUCA/MALONEY,ELECTORAL_DISTRICT_BARATARIA/SAN JUAN,ELECTORAL_DISTRICT_CARONI CENTRAL,ELECTORAL_DISTRICT_CARONI EAST,ELECTORAL_DISTRICT_CHAGUANAS EAST,ELECTORAL_DISTRICT_CHAGUANAS WEST,ELECTORAL_DISTRICT_COUVA NORTH,ELECTORAL_DISTRICT_COUVA SOUTH,ELECTORAL_DISTRICT_CUMUTO/MANZANILLA,ELECTORAL_DISTRICT_D'ABADIE/O'MEARA,ELECTORAL_DISTRICT_DIEGO MARTIN CENTRAL,ELECTORAL_DISTRICT_DIEGO MARTIN NORTH/EAST,ELECTORAL_DISTRICT_DIEGO MARTIN WEST,ELECTORAL_DISTRICT_FYZABAD,ELECTORAL_DISTRICT_LA BREA,ELECTORAL_DISTRICT_LA HORQUETTA/TALPARO,ELECTORAL_DISTRICT_LAVENTILLE EAST/MORVANT,ELECTORAL_DISTRICT_LAVENTILLE WEST,ELECTORAL_DISTRICT_LOPINOT/BON AIR WEST,ELECTORAL_DISTRICT_MAYARO,ELECTORAL_DISTRICT_MORUGA/TABLELAND,ELECTORAL_DISTRICT_NAPARIMA,ELECTORAL_DISTRICT_OROPOUCHE EAST,ELECTORAL_DISTRICT_OROPOUCHE WEST,ELECTORAL_DISTRICT_POINT FORTIN,ELECTORAL_DISTRICT_POINTE-A-PIERRE,ELECTORAL_DISTRICT_PORT-OF-SPAIN NORTH/ST. ANN'S WEST,ELECTORAL_DISTRICT_PORT-OF-SPAIN SOUTH,ELECTORAL_DISTRICT_PRINCES TOWN,ELECTORAL_DISTRICT_SAN FERNANDO EAST,ELECTORAL_DISTRICT_SAN FERNANDO WEST,ELECTORAL_DISTRICT_SIPARIA,ELECTORAL_DISTRICT_ST. ANN'S EAST,ELECTORAL_DISTRICT_ST. AUGUSTINE,ELECTORAL_DISTRICT_ST. JOSEPH,ELECTORAL_DISTRICT_TABAQUITE,ELECTORAL_DISTRICT_TOBAGO EAST,ELECTORAL_DISTRICT_TOBAGO WEST,ELECTORAL_DISTRICT_TOCO/SANGRE GRANDE,ELECTORAL_DISTRICT_TOTAL,ELECTORAL_DISTRICT_TUNAPUNA,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Annual (Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$),GNI (Per Capita US $)_1t,GNI (Per Capita US $)_1y,Inflation_1t,Inflation_1y,Unemployment_1t,Unemployment_1y,Net Migration Rate_1t,Net Migration Rate_1y,GDP (Per Capita US$)_1t,GDP (Per Capita US$)_1y,GDP_(US$)_1t,GDP_(US$)_1y
22845,0.6433111493307411,0.09152770507739474,0.5893630991464215,13464,13373,2007,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
23673,0.7577948202162434,0.09303495096806638,0.6736788746673426,15948,15908,2007,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
24597,0.4388678322533317,0.3277906834576354,0.6688214009838598,16451,16358,2007,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
22813,0.2759431119681813,0.45890080752079065,0.7294086704948932,16640,16594,2007,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
23554,0.23377653086118566,0.5082337155403757,0.6988197333786194,16460,16396,2007,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
22383,0.4266860318262187,0.31529426622884565,0.7097797435553769,15887,15836,2007,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
24272,0.08463810107538865,0.6212737504875466,0.7427900461437047,18029,17947,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
25898,0.277431289640592,0.46680761099365753,0.7333384817360414,18992,18920,2007,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
25188,0.28420876547340246,0.46994535519125685,0.714109893600127,17987,17934,2007,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
24700,0.40305516265912306,0.41685997171145683,0.718663967611336,17751,17675,2007,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75,21641620049.9352,1.0140739742355154,0.12060989266253655,0.7976808850506347,-0.05366368643823543,-0.781210951843503,-0.12378185388563687,-0.4362583038779631,0.007490671729157659,0.9797115023238658,0.1660127742149502,0.976067754490968,0.16393419606662377
